service_id,region,strategy
1,us-east-1,treatment
1,us-west-2,treatment
1,eu-west-1,treatment
2,us-west-2,treatment
2,us-east-1,treatment
3,us-west-2,treatment
3,us-east-1,treatment
4,us-west-2,treatment
4,us-east-1,treatment
5,us-west-2,treatment
5,us-east-1,treatment
6,us-west-2,treatment
6,us-east-1,treatment
7,us-west-2,treatment
7,us-east-1,treatment
8,us-east-1,treatment
8,us-west-2,treatment
8,eu-west-1,treatment
9,us-west-2,treatment
9,us-east-1,treatment
10,us-east-1,treatment
10,us-west-2,treatment
10,eu-west-1,treatment
11,us-west-2,treatment
11,us-east-1,treatment
12,us-east-1,treatment
12,us-west-2,treatment
12,eu-west-1,treatment
13,us-east-1,treatment
13,us-west-2,treatment
13,eu-west-1,treatment
14,us-east-1,treatment
14,us-west-2,treatment
14,eu-west-1,treatment
15,us-west-2,treatment
15,us-east-1,treatment
16,us-east-1,treatment
16,us-west-2,treatment
16,eu-west-1,treatment
17,us-east-1,treatment
17,us-west-2,treatment
17,eu-west-1,treatment
18,us-east-1,treatment
18,us-west-2,treatment
18,eu-west-1,treatment
19,us-west-2,treatment
19,us-east-1,treatment
20,us-west-2,treatment
20,us-east-1,treatment
21,us-east-1,treatment
21,us-west-2,treatment
21,eu-west-1,treatment
22,us-west-2,treatment
22,us-east-1,treatment
23,us-west-2,treatment
23,us-east-1,treatment
24,us-west-2,treatment
24,us-east-1,treatment
25,us-east-1,treatment
25,us-west-2,treatment
25,eu-west-1,treatment
26,us-east-1,treatment
26,us-west-2,treatment
26,eu-west-1,treatment
27,us-east-1,treatment
27,us-west-2,treatment
27,eu-west-1,treatment
28,us-west-2,treatment
28,us-east-1,treatment
29,us-west-2,treatment
29,us-east-1,treatment
30,us-east-1,treatment
30,us-west-2,treatment
30,eu-west-1,treatment
31,us-east-1,treatment
31,us-west-2,treatment
31,eu-west-1,treatment
32,us-west-2,treatment
32,us-east-1,treatment
33,us-west-2,treatment
33,us-east-1,treatment
34,us-east-1,treatment
34,us-west-2,treatment
34,eu-west-1,treatment
35,us-west-2,treatment
35,us-east-1,treatment
36,us-east-1,treatment
36,us-west-2,treatment
36,eu-west-1,treatment
37,us-west-2,treatment
37,us-east-1,treatment
38,us-west-2,treatment
38,us-east-1,treatment
39,us-west-2,treatment
39,us-east-1,treatment
40,us-east-1,treatment
40,us-west-2,treatment
40,eu-west-1,treatment
41,us-east-1,treatment
41,us-west-2,treatment
41,eu-west-1,treatment
42,us-west-2,treatment
42,us-east-1,treatment
43,us-east-1,treatment
43,us-west-2,treatment
43,eu-west-1,treatment
44,us-west-2,treatment
44,us-east-1,treatment
45,us-west-2,treatment
45,us-east-1,treatment
46,us-west-2,treatment
46,us-east-1,treatment
47,us-west-2,treatment
47,us-east-1,treatment
48,us-west-2,treatment
48,us-east-1,treatment
49,us-west-2,treatment
49,us-east-1,treatment
50,us-west-2,treatment
50,us-east-1,treatment
51,us-west-2,treatment
51,us-east-1,treatment
52,us-east-1,treatment
52,us-west-2,treatment
52,eu-west-1,treatment
53,us-west-2,treatment
53,us-east-1,treatment
54,us-west-2,treatment
54,us-east-1,treatment
55,us-east-1,treatment
55,us-west-2,treatment
55,eu-west-1,treatment
56,us-west-2,treatment
56,us-east-1,treatment
57,us-west-2,treatment
57,us-east-1,treatment
58,us-west-2,treatment
58,us-east-1,treatment
59,us-east-1,treatment
59,us-west-2,treatment
59,eu-west-1,treatment
60,us-east-1,treatment
60,us-west-2,treatment
60,eu-west-1,treatment
61,us-east-1,treatment
61,us-west-2,treatment
61,eu-west-1,treatment
62,us-west-2,treatment
62,us-east-1,treatment
63,us-west-2,treatment
63,us-east-1,treatment
64,us-east-1,treatment
64,us-west-2,treatment
64,eu-west-1,treatment
65,us-west-2,treatment
65,us-east-1,treatment
66,us-west-2,treatment
66,us-east-1,treatment
67,us-east-1,treatment
67,us-west-2,treatment
67,eu-west-1,treatment
68,us-west-2,treatment
68,us-east-1,treatment
69,us-east-1,treatment
69,us-west-2,treatment
69,eu-west-1,treatment
70,us-west-2,treatment
70,us-east-1,treatment
71,us-west-2,treatment
71,us-east-1,treatment
72,us-west-2,treatment
72,us-east-1,treatment
73,us-east-1,treatment
73,us-west-2,treatment
73,eu-west-1,treatment
74,us-west-2,treatment
74,us-east-1,treatment
75,us-east-1,treatment
75,us-west-2,treatment
75,eu-west-1,treatment
76,us-east-1,treatment
76,us-west-2,treatment
76,eu-west-1,treatment
77,us-west-2,treatment
77,us-east-1,treatment
78,us-west-2,treatment
78,us-east-1,treatment
79,us-east-1,treatment
79,us-west-2,treatment
79,eu-west-1,treatment
80,us-west-2,treatment
80,us-east-1,treatment
81,us-east-1,treatment
81,us-west-2,treatment
81,eu-west-1,treatment
82,us-west-2,treatment
82,us-east-1,treatment
83,us-east-1,treatment
83,us-west-2,treatment
83,eu-west-1,treatment
84,us-east-1,treatment
84,us-west-2,treatment
84,eu-west-1,treatment
85,us-east-1,treatment
85,us-west-2,treatment
85,eu-west-1,treatment
86,us-east-1,treatment
86,us-west-2,treatment
86,eu-west-1,treatment
87,us-east-1,treatment
87,us-west-2,treatment
87,eu-west-1,treatment
88,us-east-1,treatment
88,us-west-2,treatment
88,eu-west-1,treatment
89,us-east-1,treatment
89,us-west-2,treatment
89,eu-west-1,treatment
90,us-west-2,treatment
90,us-east-1,treatment
91,us-east-1,treatment
91,us-west-2,treatment
91,eu-west-1,treatment
92,us-west-2,treatment
92,us-east-1,treatment
93,us-east-1,treatment
93,us-west-2,treatment
93,eu-west-1,treatment
94,us-east-1,treatment
94,us-west-2,treatment
94,eu-west-1,treatment
95,us-east-1,treatment
95,us-west-2,treatment
95,eu-west-1,treatment
96,us-west-2,treatment
96,us-east-1,treatment
97,us-west-2,treatment
97,us-east-1,treatment
98,us-west-2,treatment
98,us-east-1,treatment
99,us-east-1,treatment
99,us-west-2,treatment
99,eu-west-1,treatment
100,us-west-2,treatment
100,us-east-1,treatment
101,us-east-1,treatment
101,us-west-2,treatment
101,eu-west-1,treatment
102,us-east-1,treatment
102,us-west-2,treatment
102,eu-west-1,treatment
103,us-west-2,treatment
103,us-east-1,treatment
104,us-west-2,treatment
104,us-east-1,treatment
105,us-east-1,treatment
105,us-west-2,treatment
105,eu-west-1,treatment
106,us-east-1,treatment
106,us-west-2,treatment
106,eu-west-1,treatment
107,us-east-1,treatment
107,us-west-2,treatment
107,eu-west-1,treatment
108,us-west-2,treatment
108,us-east-1,treatment
109,us-west-2,treatment
109,us-east-1,treatment
110,us-west-2,treatment
110,us-east-1,treatment
111,us-west-2,treatment
111,us-east-1,treatment
112,us-east-1,treatment
112,us-west-2,treatment
112,eu-west-1,treatment
113,us-east-1,treatment
113,us-west-2,treatment
113,eu-west-1,treatment
114,us-east-1,treatment
114,us-west-2,treatment
114,eu-west-1,treatment
115,us-east-1,treatment
115,us-west-2,treatment
115,eu-west-1,treatment
116,us-east-1,treatment
116,us-west-2,treatment
116,eu-west-1,treatment
117,us-west-2,treatment
117,us-east-1,treatment
118,us-east-1,treatment
118,us-west-2,treatment
118,eu-west-1,treatment
119,us-east-1,treatment
119,us-west-2,treatment
119,eu-west-1,treatment
120,us-east-1,treatment
120,us-west-2,treatment
120,eu-west-1,treatment
121,us-east-1,treatment
121,us-west-2,treatment
121,eu-west-1,treatment
122,us-east-1,treatment
122,us-west-2,treatment
122,eu-west-1,treatment
123,us-east-1,treatment
123,us-west-2,treatment
123,eu-west-1,treatment
124,us-east-1,treatment
124,us-west-2,treatment
124,eu-west-1,treatment
125,us-west-2,treatment
125,us-east-1,treatment
126,us-west-2,treatment
126,us-east-1,treatment
127,us-east-1,treatment
127,us-west-2,treatment
127,eu-west-1,treatment
128,us-west-2,treatment
128,us-east-1,treatment
129,us-east-1,treatment
129,us-west-2,treatment
129,eu-west-1,treatment
130,us-west-2,treatment
130,us-east-1,treatment
131,us-east-1,treatment
131,us-west-2,treatment
131,eu-west-1,treatment
132,us-east-1,treatment
132,us-west-2,treatment
132,eu-west-1,treatment
133,us-east-1,treatment
133,us-west-2,treatment
133,eu-west-1,treatment
134,us-east-1,treatment
134,us-west-2,treatment
134,eu-west-1,treatment
135,us-east-1,treatment
135,us-west-2,treatment
135,eu-west-1,treatment
136,us-east-1,treatment
136,us-west-2,treatment
136,eu-west-1,treatment
137,us-east-1,treatment
137,us-west-2,treatment
137,eu-west-1,treatment
138,us-west-2,treatment
138,us-east-1,treatment
139,us-east-1,treatment
139,us-west-2,treatment
139,eu-west-1,treatment
140,us-east-1,treatment
140,us-west-2,treatment
140,eu-west-1,treatment
141,us-east-1,treatment
141,us-west-2,treatment
141,eu-west-1,treatment
142,us-west-2,treatment
142,us-east-1,treatment
143,us-west-2,treatment
143,us-east-1,treatment
144,us-west-2,treatment
144,us-east-1,treatment
145,us-west-2,treatment
145,us-east-1,treatment
146,us-east-1,treatment
146,us-west-2,treatment
146,eu-west-1,treatment
147,us-east-1,treatment
147,us-west-2,treatment
147,eu-west-1,treatment
148,us-east-1,treatment
148,us-west-2,treatment
148,eu-west-1,treatment
149,us-east-1,treatment
149,us-west-2,treatment
149,eu-west-1,treatment
150,us-west-2,treatment
150,us-east-1,treatment
